Consultas principales,Clics,Impresiones,CTR,Posición
innovakids,57,187,30.48%,1.55
curso de ia para niños,51,336,15.18%,1.76
curso de inteligencia artificial para niños,47,246,19.11%,1.91
cursos de inteligencia artificial para niños,38,196,19.39%,2.05
cursos de ia para niños,33,250,13.2%,1.77
innova kids,29,254,11.42%,3.3
curso ia para niños,29,142,20.42%,1.86
cursos de inteligencia artificial para niños gratis,16,101,15.84%,4.62
ia para niños,9,163,5.52%,8.9
clases de inteligencia artificial para niños,9,47,19.15%,3
curso inteligencia artificial para niños,8,54,14.81%,1.72
clases de ia para niños,5,102,4.9%,2.37
cursos ia para niños,4,63,6.35%,2.11
cursos de ia para niños gratis,4,21,19.05%,5.95
cursos de ia para adolescentes,3,56,5.36%,4.09
curso de ia para adolescentes,3,47,6.38%,5.23
cursos de inteligencia artificial para adolescentes,2,47,4.26%,7.4
curso inteligencia artificial para adolescentes,2,9,22.22%,2.56
cursos ia para adolescentes,1,28,3.57%,3.93
curso de ia para niños gratis,1,6,16.67%,6.17
cursos para niños de 14 años,1,4,25%,1
codingal,1,2,50%,6.5
ia kids,0,63,0%,6.78
cursos online para niños,0,45,0%,68.71
innova kids solutions,0,33,0%,4.24
inteligencia artificial para niños,0,29,0%,11.21
cursos para niños,0,26,0%,34.12
extraescolar de inteligencia artificial,0,25,0%,6.88
curso ia para adolescentes,0,21,0%,4.81
kids ia,0,17,0%,8.82
curso de inteligencia artificial para adolescentes,0,16,0%,6.62
curso online niños,0,15,0%,59.6
cursos de ia en miami,0,14,0%,2
cursos para niños de 10 a 12 años,0,13,0%,16.85
cursos en linea para niños,0,10,0%,74.9
extraescolar de inteligencia artificial y blockchain,0,9,0%,13.33
ia niños,0,7,0%,13.71
diagonal oriente 1620,0,7,0%,15.14
curso ia niños,0,6,0%,4.17
cursos de inteligencia artificial en puerto rico,0,5,0%,6.8
ia kid,0,5,0%,7.2
curso para niños de 10 años,0,5,0%,12.2
cursos de inteligencia artificial en santa cruz bolivia,0,5,0%,13.6
chicos de argentina,0,5,0%,53.4
extraescolar intel ligència artificial,0,5,0%,77
cursos para niños de 13 años,0,4,0%,1
cursos gratis para niños de 12 a 14 años,0,4,0%,1.5
cursos para niñas de 13 años,0,4,0%,2.5
niños ia,0,4,0%,9.75
escuela online de inteligencia artificial,0,4,0%,64.75
cursos para adolescentes de 14 años,0,3,0%,1
cursos para menores de edad,0,3,0%,1
niños de ia,0,3,0%,1
que es la ia para niños,0,3,0%,1
inova kids,0,3,0%,2.33
ia para adolescentes,0,3,0%,4.33
cursos para niños de 8 a 10 años,0,3,0%,4.67
ia para niños de 10 años,0,3,0%,6.33
cursos de inteligencia artificial en guadalajara,0,3,0%,16
cursos para niños de 12 años,0,2,0%,2.5
escuela de inteligencia argentina,0,2,0%,2.5
curso de tecnologia para niños,0,2,0%,5.5
cursos online para niños de 10 a 12 años,0,2,0%,6.5
cursos para niñas de 11 años,0,2,0%,8
"cursos gratuitos ia inteligencia artificial argentina latinoamérica 2025 
2026",0,2,0%,9
cursos para niños de 13 a 15 años,0,2,0%,9
cursos de inteligencia artificial en venezuela,0,2,0%,9.5
cursos gratis ia inteligencia artificial 2025 2026 argentina latinoamérica,0,2,0%,9.5
cursos de inteligencia artificial gratis en panamá,0,2,0%,10.5
cursos inteligencia artificial acceso paises,0,2,0%,25.5
extraescolar intel ligència artificial i blockchain,0,2,0%,27
cursos interactivos para niños,0,2,0%,59.5
11 anos,0,1,0%,1
clases con ia,0,1,0%,1
clases inteligencia artificial,0,1,0%,1
clases virtuales colombia,0,1,0%,1
clases virtuales peru,0,1,0%,1
