Fecha,Sin indexar,Indexadas,Impresiones
2025-12-05,,,46
2025-12-06,,,54
2025-12-07,,,69
2025-12-08,,,48
2025-12-09,,,73
2025-12-10,,,67
2025-12-11,,,58
2025-12-12,,,80
2025-12-13,,,54
2025-12-14,26,8,64
2025-12-15,26,8,83
2025-12-16,26,8,60
2025-12-17,26,8,70
2025-12-18,26,8,74
2025-12-19,26,8,64
2025-12-20,26,8,83
2025-12-21,26,8,85
2025-12-22,26,8,63
2025-12-23,28,8,39
2025-12-24,28,8,57
2025-12-25,28,8,65
2025-12-26,28,8,55
2025-12-27,28,8,62
2025-12-28,28,8,89
2025-12-29,28,8,75
2025-12-30,28,8,33
2025-12-31,28,8,57
2026-01-01,28,8,99
2026-01-02,28,8,81
2026-01-03,28,8,93
2026-01-04,28,8,147
2026-01-05,28,8,115
2026-01-06,29,14,104
2026-01-07,29,14,128
2026-01-08,29,14,149
2026-01-09,29,14,131
2026-01-10,28,21,136
2026-01-11,28,21,169
2026-01-12,28,21,187
2026-01-13,28,30,236
2026-01-14,28,30,115
2026-01-15,28,30,139
2026-01-16,28,30,95
2026-01-17,29,30,136
2026-01-18,29,30,164
2026-01-19,29,30,167
2026-01-20,29,37,129
2026-01-21,29,37,134
2026-01-22,29,37,101
2026-01-23,29,37,117
2026-01-24,33,33,150
2026-01-25,33,33,134
2026-01-26,33,33,164
2026-01-27,33,33,169
2026-01-28,33,33,158
2026-01-29,33,33,145
2026-01-30,33,33,101
2026-01-31,32,34,108
2026-02-01,32,34,145
2026-02-02,32,34,132
2026-02-03,32,35,94
2026-02-04,32,35,84
2026-02-05,32,35,97
2026-02-06,32,35,98
2026-02-07,33,34,80
2026-02-08,33,34,98
2026-02-09,33,34,101
2026-02-10,33,34,161
2026-02-11,33,34,81
2026-02-12,33,34,101
2026-02-13,33,34,90
2026-02-14,36,34,87
2026-02-15,36,34,83
2026-02-16,36,34,115
2026-02-17,36,34,167
2026-02-18,36,34,246
2026-02-19,36,34,179
2026-02-20,36,34,194
2026-02-21,36,36,200
2026-02-22,36,36,223
2026-02-23,36,36,181
2026-02-24,39,34,230
2026-02-25,39,34,267
2026-02-26,39,34,237
2026-02-27,39,34,330
2026-02-28,39,34,252
2026-03-01,39,34,227
2026-03-02,39,34,210
