Hora (UTC-03:00),Clics,Impresiones,CTR,Posición
2026-02-11T07:00:00,0,4,0%,5
2026-02-11T08:00:00,0,3,0%,5.7
2026-02-11T09:00:00,1,8,12.5%,4.2
2026-02-11T10:00:00,1,5,20%,5
2026-02-11T11:00:00,0,6,0%,5.7
2026-02-11T12:00:00,1,11,9.09%,17.2
2026-02-11T13:00:00,1,4,25%,5.2
2026-02-11T14:00:00,2,8,25%,2.9
2026-02-11T15:00:00,1,11,9.09%,7.5
2026-02-11T16:00:00,0,18,0%,5.3
2026-02-11T17:00:00,1,9,11.11%,4.3
2026-02-11T18:00:00,1,5,20%,24.6
2026-02-11T19:00:00,1,5,20%,5
2026-02-11T20:00:00,0,7,0%,3.3
2026-02-11T21:00:00,0,5,0%,28.4
2026-02-11T22:00:00,1,16,6.25%,9.3
2026-02-11T23:00:00,2,11,18.18%,4.6
2026-02-12T00:00:00,0,19,0%,2.4
2026-02-12T01:00:00,0,0,0%,0
2026-02-12T02:00:00,0,0,0%,0
2026-02-12T03:00:00,0,0,0%,0
2026-02-12T04:00:00,0,1,0%,10
2026-02-12T05:00:00,0,0,0%,0
2026-02-12T06:00:00,0,0,0%,0
