País,Clics,Impresiones,CTR,Posición
Estados Unidos,1,69,1.45%,5.13
México,1,15,6.67%,5.73
Colombia,1,10,10%,4.2
El Salvador,1,3,33.33%,1.33
Perú,0,22,0%,5.5
España,0,17,0%,6.24
Chile,0,12,0%,2.83
Argentina,0,12,0%,4.75
República Dominicana,0,4,0%,3
Países Bajos,0,4,0%,3.25
Alemania,0,4,0%,5.25
Paraguay,0,3,0%,1
Ecuador,0,3,0%,5.33
Uruguay,0,3,0%,6.33
Costa Rica,0,3,0%,15.33
Canadá,0,2,0%,2
Suiza,0,2,0%,2
Malasia,0,2,0%,3.5
Guatemala,0,2,0%,5.5
Honduras,0,2,0%,6
Reino Unido,0,2,0%,6.5
Hungría,0,1,0%,1
Singapur,0,1,0%,1
Suecia,0,1,0%,1
Polonia,0,1,0%,2
Brasil,0,1,0%,3
Indonesia,0,1,0%,3
Nueva Zelanda,0,1,0%,3
Hong Kong,0,1,0%,4
Bolivia,0,1,0%,5
Australia,0,1,0%,6
Portugal,0,1,0%,6
Panamá,0,1,0%,9
Grecia,0,1,0%,11
Puerto Rico,0,1,0%,11
