Hora (UTC-03:00),Clics,Impresiones,CTR,Posición
2026-02-16T15:00:00,1,3,33.33%,22.3
2026-02-16T16:00:00,1,3,33.33%,29.3
2026-02-16T17:00:00,0,0,0%,0
2026-02-16T18:00:00,0,2,0%,7.5
2026-02-16T19:00:00,0,0,0%,0
2026-02-16T20:00:00,0,1,0%,11
2026-02-16T21:00:00,0,1,0%,98
2026-02-16T22:00:00,1,2,50%,7
2026-02-16T23:00:00,0,13,0%,64.8
2026-02-17T00:00:00,0,7,0%,73.9
2026-02-17T01:00:00,0,3,0%,11.7
2026-02-17T02:00:00,0,3,0%,7.3
2026-02-17T03:00:00,0,0,0%,0
2026-02-17T04:00:00,0,0,0%,0
2026-02-17T05:00:00,0,0,0%,0
2026-02-17T06:00:00,1,1,100%,1
2026-02-17T07:00:00,0,0,0%,0
2026-02-17T08:00:00,0,2,0%,8
2026-02-17T09:00:00,2,3,66.67%,3.7
2026-02-17T10:00:00,1,2,50%,3.5
2026-02-17T11:00:00,1,1,100%,1
2026-02-17T12:00:00,1,1,100%,1
2026-02-17T13:00:00,0,0,0%,0
2026-02-17T14:00:00,0,0,0%,0
