Páginas principales,Clics,Impresiones,CTR,Posición
https://www.legalpo.cl/,5,30,16.67%,30.97
https://www.legalpo.cl/como-calcular-pension-alimentos,4,16,25%,8.38
https://www.legalpo.cl/herramientas,2,12,16.67%,1.08
https://www.legalpo.cl/como-calcular-herencia,1,4,25%,10.75
https://www.legalpo.cl/calculators/finiquito,0,13,0%,50
https://www.legalpo.cl/consulta-familia,0,10,0%,1
https://www.legalpo.cl/calculators/pension-alimentos,0,9,0%,1
https://www.legalpo.cl/terminos-servicio,0,3,0%,1
https://www.legalpo.cl/calculators/herencia,0,2,0%,1
https://www.legalpo.cl/ia-legal-chile,0,1,0%,10
