Fecha,Clics,Impresiones,CTR,Posición
2025-12-10,5,73,6.85%,3.7
2025-12-11,6,67,8.96%,4.4
2025-12-12,5,58,8.62%,5.3
2025-12-13,13,80,16.25%,4.7
2025-12-14,5,54,9.26%,3.9
2025-12-15,6,64,9.38%,4.2
2025-12-16,6,83,7.23%,4.7
2025-12-17,4,60,6.67%,3.9
2025-12-18,5,70,7.14%,3.9
2025-12-19,6,74,8.11%,4.9
2025-12-20,7,64,10.94%,4.2
2025-12-21,7,83,8.43%,4.3
2025-12-22,12,85,14.12%,3.8
2025-12-23,6,63,9.52%,4.6
2025-12-24,5,39,12.82%,4.1
2025-12-25,4,57,7.02%,4.6
2025-12-26,8,65,12.31%,4.4
2025-12-27,4,55,7.27%,4
2025-12-28,7,62,11.29%,4.2
2025-12-29,9,89,10.11%,6.8
2025-12-30,8,75,10.67%,3.7
2025-12-31,1,33,3.03%,6.5
2026-01-01,5,57,8.77%,4.3
2026-01-02,20,99,20.2%,3.8
2026-01-03,5,81,6.17%,4.9
2026-01-04,7,93,7.53%,3.9
2026-01-05,12,147,8.16%,4.9
2026-01-06,7,115,6.09%,5.3
2026-01-07,12,104,11.54%,4.2
2026-01-08,17,128,13.28%,4.4
2026-01-09,20,149,13.42%,4.4
2026-01-10,12,131,9.16%,4.2
2026-01-11,16,136,11.76%,4.6
2026-01-12,19,169,11.24%,4.8
2026-01-13,16,187,8.56%,6.3
2026-01-14,61,236,25.85%,3.7
2026-01-15,10,115,8.7%,5.5
2026-01-16,19,139,13.67%,4.6
2026-01-17,8,95,8.42%,5.4
2026-01-18,5,136,3.68%,5.2
2026-01-19,13,164,7.93%,4.2
2026-01-20,12,167,7.19%,5.9
2026-01-21,8,129,6.2%,5.6
2026-01-22,16,134,11.94%,4.7
2026-01-23,8,101,7.92%,5.3
2026-01-24,14,117,11.97%,6.3
2026-01-25,11,150,7.33%,5.4
2026-01-26,14,134,10.45%,4.9
2026-01-27,11,164,6.71%,5
2026-01-28,17,169,10.06%,4.8
2026-01-29,10,158,6.33%,7.1
2026-01-30,11,145,7.59%,4.2
2026-01-31,2,101,1.98%,5
2026-02-01,10,108,9.26%,5.4
2026-02-02,12,145,8.28%,5.9
2026-02-03,10,132,7.58%,4.9
2026-02-04,3,94,3.19%,5.4
2026-02-05,15,84,17.86%,4.2
2026-02-06,7,97,7.22%,7.7
2026-02-07,5,98,5.1%,4.6
2026-02-08,7,80,8.75%,8.4
2026-02-09,9,98,9.18%,4.6
2026-02-10,6,101,5.94%,6.8
2026-02-11,13,161,8.07%,7.4
2026-02-12,9,81,11.11%,7.1
2026-02-13,10,101,9.9%,10.3
2026-02-14,7,90,7.78%,8.4
2026-02-15,6,87,6.9%,10.6
2026-02-16,10,83,12.05%,9.3
2026-02-17,6,115,5.22%,7.6
2026-02-18,10,167,5.99%,8.7
2026-02-19,13,246,5.28%,4.6
2026-02-20,9,179,5.03%,6.8
2026-02-21,6,194,3.09%,5.6
2026-02-22,13,200,6.5%,5.3
2026-02-23,11,223,4.93%,6.3
2026-02-24,9,181,4.97%,5.6
2026-02-25,11,230,4.78%,6.2
2026-02-26,11,267,4.12%,5.9
2026-02-27,10,237,4.22%,5.9
2026-02-28,15,330,4.55%,4.5
2026-03-01,4,252,1.59%,6.8
2026-03-02,8,227,3.52%,6.3
2026-03-03,9,210,4.29%,6.6
2026-03-04,14,297,4.71%,6.1
2026-03-05,18,241,7.47%,4.4
2026-03-06,11,245,4.49%,4.2
2026-03-07,14,233,6.01%,6.8
2026-03-08,14,231,6.06%,6.6
2026-03-09,28,288,9.72%,4.6
