Hora (UTC-03:00),Clics,Impresiones,CTR,Posición
2026-02-15T12:00:00,0,7,0%,9.1
2026-02-15T13:00:00,0,5,0%,8.2
2026-02-15T14:00:00,0,3,0%,2.7
2026-02-15T15:00:00,0,5,0%,15.4
2026-02-15T16:00:00,0,11,0%,6.1
2026-02-15T17:00:00,1,1,100%,9
2026-02-15T18:00:00,1,3,33.33%,13.7
2026-02-15T19:00:00,0,13,0%,30.5
2026-02-15T20:00:00,0,1,0%,30
2026-02-15T21:00:00,0,2,0%,5.5
2026-02-15T22:00:00,1,9,11.11%,3.7
2026-02-15T23:00:00,0,2,0%,1
2026-02-16T00:00:00,2,6,33.33%,3
2026-02-16T01:00:00,0,1,0%,10
2026-02-16T02:00:00,0,2,0%,9
2026-02-16T03:00:00,0,0,0%,0
2026-02-16T04:00:00,0,1,0%,2
2026-02-16T05:00:00,0,2,0%,7
2026-02-16T06:00:00,0,1,0%,1
2026-02-16T07:00:00,0,2,0%,6.5
2026-02-16T08:00:00,0,0,0%,0
2026-02-16T09:00:00,0,1,0%,1
2026-02-16T10:00:00,0,5,0%,48.4
2026-02-16T11:00:00,0,0,0%,0
