País,Clics,Impresiones,CTR,Posición
Colombia,2,15,13.33%,9.8
España,1,32,3.12%,9.12
México,1,14,7.14%,3.71
Ecuador,1,8,12.5%,2.5
Estados Unidos,0,28,0%,5.82
Perú,0,15,0%,4.67
Argentina,0,10,0%,5.5
Honduras,0,9,0%,8
Venezuela,0,7,0%,8
Uruguay,0,6,0%,2.5
Chile,0,6,0%,4.17
República Dominicana,0,5,0%,5.6
Paraguay,0,4,0%,2.25
Puerto Rico,0,4,0%,3
Bolivia,0,4,0%,4.75
Panamá,0,3,0%,3
Reino Unido,0,2,0%,4
Canadá,0,2,0%,9.5
El Salvador,0,2,0%,15
Sudáfrica,0,1,0%,2
Alemania,0,1,0%,3
Italia,0,1,0%,3
Guinea Ecuatorial,0,1,0%,5
Indonesia,0,1,0%,5
Tailandia,0,1,0%,5
Costa Rica,0,1,0%,8
Cuba,0,1,0%,8
Japón,0,1,0%,9
Turquía,0,1,0%,9
